date,home_team,away_team,home_score,away_score,neutral,overtime,game_id,notes,status,model,home_rating,away_rating,projected_winner,projected_spread,projected_total,result_margin,result_total
10/29/2025,Brooklyn Nets,Atlanta Hawks,112,117,FALSE,FALSE,2025-10-29|Atlanta Hawks|Brooklyn Nets,,final,bradley-terry,-6.90391712,-2.363932593,Atlanta Hawks,-4.539984527,233.2969432,-5,229
10/29/2025,Boston Celtics,Cleveland Cavaliers,125,105,FALSE,FALSE,2025-10-29|Cleveland Cavaliers|Boston Celtics,,final,bradley-terry,2.484741787,-1.573435105,Boston Celtics,4.058176892,233.2969432,20,230
10/29/2025,Toronto Raptors,Houston Rockets,121,139,FALSE,FALSE,2025-10-29|Houston Rockets|Toronto Raptors,,final,bradley-terry,-1.091654483,3.17744288,Houston Rockets,-4.269097363,233.2969432,-18,260
10/29/2025,Dallas Mavericks,Indiana Pacers,107,105,FALSE,FALSE,2025-10-29|Indiana Pacers|Dallas Mavericks,,final,bradley-terry,-4.867254585,-11.81293649,Dallas Mavericks,6.945681906,233.2969432,2,212
10/29/2025,Minnesota Timberwolves,Los Angeles Lakers,115,116,FALSE,FALSE,2025-10-29|Los Angeles Lakers|Minnesota Timberwolves,,final,bradley-terry,3.203037321,3.460211333,Los Angeles Lakers,-0.257174012,233.2969432,-1,231
10/29/2025,Phoenix Suns,Memphis Grizzlies,113,114,FALSE,FALSE,2025-10-29|Memphis Grizzlies|Phoenix Suns,,final,bradley-terry,1.641240049,-1.768083656,Phoenix Suns,3.409323705,233.2969432,-1,227
10/29/2025,Denver Nuggets,New Orleans Pelicans,122,88,FALSE,FALSE,2025-10-29|New Orleans Pelicans|Denver Nuggets,,final,bradley-terry,5.062279444,-7.916221568,Denver Nuggets,12.97850101,233.2969432,34,210
10/29/2025,Detroit Pistons,Orlando Magic,135,116,FALSE,FALSE,2025-10-29|Orlando Magic|Detroit Pistons,,final,bradley-terry,5.586114982,1.245174867,Detroit Pistons,4.340940115,233.2969432,19,251
10/29/2025,Utah Jazz,Portland Trail Blazers,134,136,FALSE,FALSE,2025-10-29|Portland Trail Blazers|Utah Jazz,,final,bradley-terry,-3.765361242,-3.310042335,Portland Trail Blazers,-0.455318907,233.2969432,-2,270
10/29/2025,Chicago Bulls,Sacramento Kings,126,113,FALSE,FALSE,2025-10-29|Sacramento Kings|Chicago Bulls,,final,bradley-terry,-2.267206274,-7.119348383,Chicago Bulls,4.852142109,233.2969432,13,239
10/30/2025,Milwaukee Bucks,Golden State Warriors,120,110,FALSE,FALSE,2025-10-30|Golden State Warriors|Milwaukee Bucks,,final,bradley-terry,-5.401240434,-0.196594319,Golden State Warriors,-5.204646115,233.2969432,10,230
10/30/2025,San Antonio Spurs,Miami Heat,107,101,FALSE,FALSE,2025-10-30|Miami Heat|San Antonio Spurs,,final,bradley-terry,7.208024728,-0.318817789,San Antonio Spurs,7.526842517,233.2969432,6,208
10/30/2025,Charlotte Hornets,Orlando Magic,107,123,FALSE,FALSE,2025-10-30|Orlando Magic|Charlotte Hornets,,final,bradley-terry,-6.230312921,1.245174867,Orlando Magic,-7.475487788,233.2969432,-16,230
10/30/2025,Oklahoma City Thunder,Washington Wizards,127,108,FALSE,FALSE,2025-10-30|Washington Wizards|Oklahoma City Thunder,,final,bradley-terry,9.811197825,-11.11742058,Oklahoma City Thunder,20.92861841,233.2969432,19,235
10/31/2025,Indiana Pacers,Atlanta Hawks,108,128,FALSE,FALSE,2025-10-31|Atlanta Hawks|Indiana Pacers,,final,bradley-terry,-11.81293649,-2.363932593,Atlanta Hawks,-9.449003898,233.2969432,-20,236
10/31/2025,Philadelphia 76ers,Boston Celtics,108,109,FALSE,FALSE,2025-10-31|Boston Celtics|Philadelphia 76ers,,final,bradley-terry,-0.7259986,2.484741787,Boston Celtics,-3.210740387,233.2969432,-1,217
10/31/2025,Portland Trail Blazers,Denver Nuggets,109,107,FALSE,FALSE,2025-10-31|Denver Nuggets|Portland Trail Blazers,,final,bradley-terry,-3.310042335,5.062279444,Denver Nuggets,-8.372321779,233.2969432,2,216
